TEH, MQ3, MQ4, MQ5, MQ135
OOLONG,563,959,2279,945
OOLONG,558,964,2350,951
OOLONG,557,998,2281,949
OOLONG,558,963,2293,947
OOLONG,555,962,2303,947
OOLONG,557,963,2283,946
OOLONG,560,961,2299,957
OOLONG,565,964,2217,945
OOLONG,555,921,2275,947
OOLONG,546,959,2275,949
OOLONG,559,956,2302,948
OOLONG,558,959,2318,946
OOLONG,566,957,2257,946
OOLONG,553,988,2303,945
OOLONG,552,956,2252,955
OOLONG,562,955,2270,946
OOLONG,552,954,2281,944
OOLONG,554,959,2292,949
OOLONG,553,962,2301,950
OOLONG,552,981,2214,945
OOLONG,552,950,2299,947
OOLONG,537,954,2283,944
OOLONG,552,958,2295,943
OOLONG,566,952,2293,944
OOLONG,552,953,2292,941
OOLONG,552,962,2283,945
OOLONG,549,953,2283,937
OOLONG,552,949,2263,940
OOLONG,549,926,2294,941
OOLONG,549,924,2303,947
OOLONG,551,952,2281,943
OOLONG,551,953,2297,1095
OOLONG,554,952,2293,1100
OOLONG,552,952,2281,1091
OOLONG,547,951,2219,1071
OOLONG,551,964,2268,1079
OOLONG,549,974,2281,1082
OOLONG,532,952,2257,1085
OOLONG,561,954,2307,1063
OOLONG,550,958,2290,954
OOLONG,549,955,2283,957
OOLONG,547,952,2314,943
OOLONG,550,951,2341,970
OOLONG,551,926,2291,959
OOLONG,547,938,2306,1026
OOLONG,568,952,2299,1016
OOLONG,552,947,2275,990
OOLONG,563,951,2269,981
OOLONG,548,962,2306,940
OOLONG,545,946,2268,943
OOLONG,546,949,2246,941
OOLONG,546,948,2300,940
OOLONG,549,920,2273,940
OOLONG,551,946,2311,940
OOLONG,543,989,2300,943
OOLONG,549,951,2302,942
OOLONG,547,949,2282,943
OOLONG,544,956,2307,946
OOLONG,552,949,2343,943
OOLONG,550,962,2317,943
OOLONG,548,945,2382,943
OOLONG,551,950,2307,942
OOLONG,550,923,2300,942
OOLONG,550,954,2301,940
OOLONG,549,943,2301,939
OOLONG,550,943,2323,943
OOLONG,552,936,2305,940
OOLONG,546,995,2306,940
OOLONG,550,943,2282,941
OOLONG,552,945,2318,941
OOLONG,553,967,2337,944
OOLONG,553,952,2348,943
OOLONG,563,939,2351,941
OOLONG,552,947,2341,941
OOLONG,554,940,2326,940
OOLONG,555,995,2364,941
OOLONG,553,931,2335,940
OOLONG,554,952,2341,939
OOLONG,535,939,2332,937
OOLONG,548,935,2360,935
OOLONG,557,937,2332,936
OOLONG,557,935,2330,934
OOLONG,555,935,2344,923
OOLONG,557,933,2262,930
OOLONG,555,929,2315,933
OOLONG,557,931,2249,923
OOLONG,559,927,2235,920
OOLONG,558,939,2306,915
OOLONG,553,888,2324,934
OOLONG,555,947,2300,919
