TEH,MQ3,MQ4,MQ5,MQ135
HIJAU,479.486272613669,508.2939144639281,2310.1133946791806,610.9330953909298
OOLONG,402.208846849441,756.0465291496405,2367.0723185801035,656.665776453557
HIJAU,726.1845713819337,613.247887598969,2413.2405525564714,1009.8040640498141
HIJAU,682.7429375390468,822.5863952047249,2011.342398860938,642.7131890761374
OOLONG,691.602867216395,587.1832145024957,2001.5162946871997,791.3853781762568
OOLONG,708.5081386743783,845.468869051233,2298.295178966775,1106.9251865816727
HIJAU,429.61786069363615,693.3676731502687,2149.963930777765,613.9631614414956
HITAM,543.386291417709,968.3649943683672,2201.9668772577033,1088.6810895533615
HIJAU,446.3476238100519,568.7604720729967,2295.7926694361013,769.1128648640399
HIJAU,745.2413703502374,670.5331755251293,2390.005341817566,670.8988965729937
HIJAU,649.3192507310232,556.7367606202945,1837.9951568515357,1018.0422992184904
HIJAU,532.3592099410597,962.3468091392814,1875.582952639944,977.3657080679304
OOLONG,425.4233401144095,938.6696766904905,1593.981939840869,1126.4832081162317
HIJAU,524.3929286862649,628.9708138575778,2078.280140996174,1041.0426262823314
HITAM,530.0733288106989,829.9920230170895,1535.942273796742,1082.0885582309093
OOLONG,691.8424713352256,908.6111001006079,1965.59801813246,769.2207435427839
HITAM,655.0229885420853,777.6004057997311,2042.6446347075766,706.4637262678336
HITAM,754.8850970305307,764.8252891780032,1786.5412521282844,1050.3688509845151
HITAM,588.8859700647797,620.9261454502258,2090.8332605690107,1084.1008435603585
HITAM,447.83769837532066,546.5513839029496,1530.5002499390494,1194.303085200404
OOLONG,685.297914889198,948.6078789766634,1537.3481887492144,847.5706061468559
OOLONG,704.314019446759,950.2090285816653,2322.600560659658,823.2108514756699
HITAM,624.5108790277985,816.550728636634,1860.190641411263,1065.8477764451982
HITAM,708.3868719818245,669.5148955243503,1627.060512651885,804.4821241518107
OOLONG,597.5182385457563,674.6047873063304,2022.2432600548045,1158.4543953621387
OOLONG,609.0931317527976,862.9778394351197,2269.993553098611,1115.047651105807
OOLONG,571.0164073434198,948.5551299762885,1715.8210274968433,857.396416425011
HIJAU,410.16765069763807,943.5432121325587,2122.890475819,1050.5226406748984
HIJAU,443.15657079732176,889.9377729288119,1585.347464993768,1052.7257244508094
HIJAU,412.5716742746937,821.0158230771439,1551.6817211686077,661.8743213015596
HITAM,654.5641645055122,542.0699824975244,2031.3546315681479,1141.5317440077401
HIJAU,525.7423924305307,580.8143570473069,2040.6351216101066,903.1514234687143
HITAM,603.4282764658811,949.2770942635395,2137.4299014982066,1095.874479664645
HITAM,763.0265895704372,803.214529829795,2226.0913337226616,792.029760618367
HIJAU,499.71689165954996,504.59852580831483,2475.8520794625347,1137.3139370977203
HITAM,564.1531692142519,550.735771433016,2016.3003483011953,833.5210072404979
HIJAU,702.2204554172195,831.7508845540278,1822.956472941246,606.502590888179
HIJAU,491.51926619664897,502.53079192310935,2295.186194768704,1143.2291858515582
OOLONG,430.7919639315172,580.4040257087494,1770.8322512620744,654.7720060716802
HIJAU,515.9005811655072,774.3668946832931,1938.971420705636,791.588182554249
OOLONG,464.4885149016018,845.9475988463466,1578.456381342266,1170.037180230483
HIJAU,771.8790609370292,825.9806297513003,1525.3507434154576,1170.3642881625337
HIJAU,723.2481518257669,612.1346547302799,2462.648414677925,944.0627328739716
OOLONG,653.3615026041693,856.089610673768,2335.9801205122058,979.1023273018795
OOLONG,748.5842360750871,618.6245437484,2195.974206093698,869.0673131869919
HIJAU,721.4688307596458,662.6998490796339,1908.95294441427,775.9264630188387
HITAM,474.6280235544143,873.245702559012,1673.2943200708457,797.1987272219496
OOLONG,757.0235993959911,824.8164495236074,1656.4370426710861,1003.511073646223
HITAM,615.7368967662603,924.611705247089,1750.2428981645953,1051.4247176626081
HITAM,722.976062065625,828.8064461501717,2049.2266647061206,1074.947426235509
HITAM,758.4365199693973,784.1543016677358,2214.595922700062,1073.7708856767324
OOLONG,527.2013899887455,546.8373839140462,2160.1973767177315,654.7236618292143
HITAM,444.0207698110707,683.8579015297167,1779.9338969459427,896.6521828215489
OOLONG,491.1740650167767,632.6011838408627,2454.865280663194,634.5352560099866
HITAM,570.8431154505025,621.9948216895418,2237.8969166957686,929.7173293942413
HIJAU,727.2059063689973,986.5052773762228,2054.354052511401,864.9183008240262
HIJAU,744.2922333025374,696.5488623333802,2111.720746234352,1132.6225096549797
OOLONG,402.7808522124763,946.0232775885567,1919.60006242779,810.5490075312472
HIJAU,604.2989210310263,815.5693129986314,1747.7309895011574,670.2402098565635
HIJAU,566.9644012595115,897.4056517708242,1855.9726786512615,685.7950092317016
HITAM,488.8431241882921,751.318546552596,2257.8461104643693,1056.9063790304833
OOLONG,447.94614693347313,788.4519423131795,1514.393488629756,970.9308379897566
HITAM,535.0460685614512,746.2588469094319,1616.0726405069163,660.6736056736742
HITAM,777.1638815650076,597.6214938990222,1546.0026420217528,650.4640836689985
HITAM,529.2811728083021,861.2260576307526,1540.72880231897,1020.5814788754719
HITAM,607.5162486973464,640.3861812204279,2355.460584011007,643.6578038185161
HITAM,681.2075835580711,512.157983215727,2203.6578593800236,1093.1160355742138
HITAM,545.4518409517176,822.7361479535839,1974.1738290873252,1023.7453362938977
HITAM,788.7128330883843,588.5553397035245,1597.8341606510014,648.8092683851398
OOLONG,784.9789179768445,970.2292921764572,1991.6158751168323,650.9026284511151
HIJAU,500.71291833014567,976.9642885012937,1973.4717707805657,1191.9837471007054
HITAM,598.8994023569542,957.4321951102243,1673.2018699100151,824.5624774536722
HITAM,520.3513239267079,685.0793501277221,1933.851649237973,822.3852882401345
HITAM,513.936197750987,507.72830826443374,1898.5047343973733,1087.6797403545015
HITAM,414.75477894181313,964.1592812938627,2115.8500980522167,1168.3491464303152
HITAM,643.8257335919587,714.0920741586572,2135.0936508676436,1191.6006382937226
HITAM,601.0716092915446,983.3274095218349,1545.3040097720445,1052.026911155365
HIJAU,420.59150049999573,981.8099885446264,1874.6126146264712,825.7557513185495
HIJAU,511.45858569464457,926.50472773368,2125.859915714236,650.1004300192012
HITAM,763.3063543866615,647.2244460347929,2003.1362585800878,1066.288149556462
HIJAU,495.824756266789,692.5488643009626,2356.4898411883223,935.042549841483
OOLONG,457.9579488364892,925.5683357584285,2158.693631618945,854.5332055481858
HITAM,595.7811041110252,658.4610025781388,1662.9344270814297,1143.8126310568416
OOLONG,794.2601816442402,584.7463733430462,1570.5687474004299,666.7184893836908
OOLONG,496.82210860460015,778.4006312291751,2142.4192782063155,895.5750625745154
HITAM,668.8542189623514,968.0773870803905,1526.511310541622,606.8121868604514
HIJAU,704.6478461314871,848.0148983374866,2085.775581273463,881.1963851964758
OOLONG,495.0550175969599,785.0305850446825,2440.2302414249575,633.7819654091024
HITAM,691.2865394447438,548.5882468853843,2075.474177875879,671.2907497608431
OOLONG,547.1132530877013,807.5036133495848,1888.169926206522,670.515748066263
